mky_id,cohort,mky_real_id,mky_name,mky_gender,mky_birthdate,weight,mky_drinking,mky_housing_control,mky_necropsy_start_date,mky_necropsy_start_date_comments,mky_necropsy_end_date,mky_necropsy_end_date_comments,mky_study_complete,mky_stress_model,mky_age_at_necropsy
150,INIA Rhesus 5,24698,E-Nigma,M,10/30/04,,FALSE,FALSE,5/5/10,,,,TRUE,,5 yr 6 mo
64,INIA Rhesus 6a,25700,Anakin,F,5/1/06,,FALSE,FALSE,,,,,,,
67,INIA Rhesus 6a,25893,Fiona,F,4/15/06,,FALSE,FALSE,,,,,,,
72,INIA Rhesus 6a,26132,Bianca,F,5/1/06,,FALSE,FALSE,,,,,,,
65,INIA Rhesus 6a,25797,Stella,F,6/8/06,,TRUE,FALSE,,,,,,,
66,INIA Rhesus 6a,25885,Glinda,F,6/15/06,,TRUE,FALSE,,,,,,,
74,INIA Rhesus 6a,26158,Alice,F,9/26/06,,TRUE,FALSE,,,,,,,
75,INIA Rhesus 6a,26231,Jezebel,F,6/1/06,,TRUE,FALSE,,,,,,,
76,INIA Rhesus 6a,26234,Una,F,6/1/06,,TRUE,FALSE,,,,,,,
77,INIA Rhesus 6a,26235,Mouse,F,6/1/06,,TRUE,FALSE,,,,,,,
68,INIA Rhesus 6b,25907,Tina,F,4/1/06,,TRUE,FALSE,,,,,,,
69,INIA Rhesus 6b,25918,Elphie,F,6/15/06,,TRUE,FALSE,,,,,,,
70,INIA Rhesus 6b,26026,Kate,F,7/1/06,,TRUE,FALSE,,,,,,,
71,INIA Rhesus 6b,26046,Clementine,F,4/1/06,,TRUE,FALSE,,,,,,,
73,INIA Rhesus 6b,26139,Jamba,F,1/15/06,,TRUE,FALSE,,,,,,,
78,INIA Rhesus 7b,25154,Apollo,M,12/1/04,,TRUE,FALSE,,,,,,,
79,INIA Rhesus 7b,25157,Spock,M,6/1/05,,TRUE,FALSE,,,,,,,
80,INIA Rhesus 7b,25184,Kimbo,M,7/21/05,,TRUE,FALSE,,,,,,,
81,INIA Rhesus 7b,25240,Crosby,M,5/6/05,,TRUE,FALSE,,,,,,,
82,INIA Rhesus 7b,25425,Churchill,M,7/26/05,,TRUE,FALSE,,,,,,,
89,INIA Rhesus 7a,26077,Dave,M,3/15/06,,FALSE,FALSE,,,,,,,
90,INIA Rhesus 7a,26082,Tadpole,M,3/15/06,,FALSE,FALSE,,,,,,,
91,INIA Rhesus 7a,26089,Sirius,M,4/15/06,,FALSE,FALSE,,,,,,,
92,INIA Rhesus 7a,26104,Royce,M,4/15/06,,FALSE,FALSE,,,,,,,
83,INIA Rhesus 7a,25742,Dwight,M,4/23/06,,TRUE,FALSE,,,,,,,
84,INIA Rhesus 7a,25787,Neville,M,3/6/06,,TRUE,FALSE,,,,,,,
85,INIA Rhesus 7a,25790,Linus,M,1/6/06,,TRUE,FALSE,,,,,,,
86,INIA Rhesus 7a,25811,Horatio,M,5/30/06,,TRUE,FALSE,,,,,,,
87,INIA Rhesus 7a,25882,Bo,M,4/27/06,,TRUE,FALSE,,,,,,,
88,INIA Rhesus 7a,26016,Cole,M,5/15/06,,TRUE,FALSE,,,,,,,
93,INIA Rhesus 7a,26148,Habib,M,5/1/06,,TRUE,FALSE,,,,,,,
94,INIA Rhesus 7a,26168,Coyote,M,9/5/06,,TRUE,FALSE,,,,,,,
103,INIA Rhesus 1,1466,Mario,M,3/12/99,10.7,TRUE,FALSE,10/3/05,,,,TRUE,MR,6 yr 6 mo
107,INIA Rhesus 1,1467,Dominik,M,5/5/99,10.4,TRUE,FALSE,9/26/05,,,,TRUE,NR,6 yr 4 mo
108,INIA Rhesus 1,1468,Claude,M,6/12/99,9.8,TRUE,FALSE,9/28/05,,,,TRUE,NR,6 yr 3 mo
104,INIA Rhesus 1,1469,Wayne,M,6/22/99,9.3,TRUE,FALSE,9/30/05,,,,TRUE,MR,6 yr 3 mo
105,INIA Rhesus 1,1470,Joe,M,6/23/99,10.5,TRUE,FALSE,10/5/05,,,,TRUE,MR,6 yr 3 mo
106,INIA Rhesus 1,1471,Murray,M,8/26/99,10.4,TRUE,FALSE,10/7/05,,,,TRUE,MR,6 yr 1 mo
109,INIA Rhesus 1,1472,Neely,M,9/22/99,9,TRUE,FALSE,10/11/05,,,,TRUE,NR,6 yr 0 mo
110,INIA Rhesus 1,1473,Sergei,M,9/29/99,9.5,TRUE,FALSE,10/14/05,,,,TRUE,NR,6 yr 0 mo
116,INIA Rhesus 2,1474,Damon,M,5/17/00,10.2,FALSE,FALSE,4/18/07,,,,TRUE,NR,6 yr 11 mo
112,INIA Rhesus 2,1478,Trot,M,5/3/00,10.2,FALSE,FALSE,4/13/07,,,,TRUE,MR,6 yr 11 mo
119,INIA Rhesus 2,1479,Nomar,M,6/27/00,10.1,FALSE,FALSE,4/9/07,,,,TRUE,NR,6 yr 9 mo
113,INIA Rhesus 2,1481,Wake,M,8/11/00,10.4,FALSE,FALSE,4/25/07,,,,TRUE,MR,6 yr 8 mo
114,INIA Rhesus 2,1482,Pedro,M,8/10/00,10.2,FALSE,FALSE,4/16/07,,,,TRUE,MR,6 yr 8 mo
115,INIA Rhesus 2,1483,Big Papi,M,8/20/00,12.1,FALSE,FALSE,5/4/07,,,,TRUE,MR,6 yr 8 mo
111,INIA Rhesus 2,1477,Schilling,M,3/28/00,10,FALSE,FALSE,4/20/07,,,,TRUE,MR,7 yr 0 mo
120,INIA Rhesus 2,1480,Tech,M,6/30/00,10.4,FALSE,FALSE,4/11/07,,,,TRUE,NR,6 yr 9 mo
117,INIA Rhesus 2,1475,Manny,M,4/9/00,10.1,FALSE,FALSE,5/7/07,,,,TRUE,NR,7 yr 0 mo
118,INIA Rhesus 2,1476,D-Lowe,M,4/2/00,10.1,FALSE,FALSE,5/1/07,,,,TRUE,NR,7 yr 1 mo
121,INIA Vervet 1,1050,Louis,M,7/22/04,7.3,TRUE,FALSE,8/9/10,,,,TRUE,HC,6 yr 0 mo
124,INIA Vervet 1,1058,Valentino,M,7/31/04,9.1,TRUE,FALSE,9/10/10,,,,TRUE,LC,6 yr 1 mo
122,INIA Vervet 1,1051,Tommy,M,7/14/04,5.5,TRUE,FALSE,8/2/10,,,,TRUE,HC,6 yr 0 mo
125,INIA Vervet 1,1059,Hugo,M,6/15/04,7.6,TRUE,FALSE,8/17/10,,,,TRUE,LC,6 yr 2 mo
128,INIA Vervet 1,1052,Gucci,M,6/24/00,6.8,FALSE,FALSE,8/16/10,,,,TRUE,LC,10 yr 1 mo
129,INIA Vervet 1,1053,Oscar,M,9/8/04,7.6,FALSE,FALSE,8/13/10,,,,TRUE,LC,5 yr 11 mo
123,INIA Vervet 1,1055,Calvin,M,10/2/04,7.8,TRUE,FALSE,8/3/10,,,,TRUE,HC,5 yr 10 mo
126,INIA Vervet 1,1054,Issac,M,5/2/04,7.3,FALSE,FALSE,8/4/10,,,,TRUE,HC,6 yr 3 mo
130,INIA Vervet 1,1057,Marc,M,7/2/04,8,FALSE,FALSE,8/11/10,,,,TRUE,LC,6 yr 1 mo
127,INIA Vervet 1,1056,Ralph,M,7/19/04,7.1,FALSE,FALSE,8/6/10,,,,TRUE,HC,6 yr 0 mo
131,INIA Vervet 2,1186,,M,9/24/05,,TRUE,FALSE,,,,,FALSE,HC,
132,INIA Vervet 2,1190,,M,6/2/05,,TRUE,FALSE,,,,,FALSE,HC,
133,INIA Vervet 2,1269,,M,5/20/05,,TRUE,FALSE,,,,,FALSE,HC,
134,INIA Vervet 2,1120,,M,7/6/05,,TRUE,FALSE,,,,,FALSE,LC,
135,INIA Vervet 2,1197,,M,8/18/05,,TRUE,FALSE,,,,,FALSE,LC,
136,INIA Vervet 2,1292,,M,1/22/05,,TRUE,FALSE,,,,,FALSE,LC,
137,INIA Vervet 2,1447,,M,6/2/05,,TRUE,FALSE,,,,,FALSE,LC,
138,INIA Vervet 2,1106,,M,8/2/05,,FALSE,FALSE,,,,,FALSE,HC,
139,INIA Vervet 2,1465,,M,6/13/05,,FALSE,FALSE,,,,,FALSE,HC,
140,INIA Vervet 2,1263,,M,6/4/05,,FALSE,FALSE,,,,,FALSE,LC,
145,Assay Cohort,0,,,,,FALSE,FALSE,,,,,FALSE,,
5,INIA Cyno 1,6890,Rocky,M,3/16/97,,TRUE,FALSE,12/4/03,,,,FALSE,,6 yr 8 mo
1,INIA Cyno 1,6886,Joey,M,12/30/96,5.18,TRUE,FALSE,10/15/04,,,,TRUE,,7 yr 9 mo
2,INIA Cyno 1,6887,Red,M,8/31/97,7.36,TRUE,FALSE,10/20/04,,,,TRUE,,7 yr 1 mo
3,INIA Cyno 1,6888,Bumble,M,5/18/97,7.16,TRUE,FALSE,10/18/04,,,,TRUE,,7 yr 5 mo
4,INIA Cyno 1,6889,Garp,M,3/7/97,6.58,TRUE,FALSE,10/4/04,,,,TRUE,,7 yr 7 mo
6,INIA Cyno 1,6891,Gobo,M,8/7/96,5.54,TRUE,FALSE,9/27/04,,,,TRUE,,8 yr 1 mo
7,INIA Cyno 1,6892,Wembley,M,10/1/96,6.82,TRUE,FALSE,10/6/04,,,,TRUE,,8 yr 0 mo
8,INIA Cyno 1,6893,Binkey,M,1/3/97,5.3,TRUE,FALSE,9/29/04,,,,TRUE,,7 yr 9 mo
9,INIA Cyno 1,6894,Wiley,M,2/16/97,6.38,TRUE,FALSE,10/8/04,,,,TRUE,,7 yr 7 mo
10,INIA Cyno 1,6895,Harry,M,2/28/97,6.65,TRUE,FALSE,10/11/04,,,,TRUE,,7 yr 7 mo
11,INIA Cyno 1,6896,Po,M,5/29/97,5.01,TRUE,FALSE,10/13/04,,,,TRUE,,7 yr 4 mo
95,INIA Cyno 8,28477,Ninja,F,9/26/00,4.82,TRUE,FALSE,10/28/11,,,,TRUE,,11 yr 1 mo
97,INIA Cyno 8,28479,Frida,F,9/24/00,4.96,TRUE,FALSE,5/9/11,,,,FALSE,,10 yr 7mo
98,INIA Cyno 8,28480,Magda,F,6/29/00,4.6,TRUE,FALSE,10/26/11,,,,TRUE,,11 yr 3mo
100,INIA Cyno 8,28482,Margaret,F,10/1/00,5.98,TRUE,FALSE,10/25/11,,,,TRUE,,11 yr 0mo
96,INIA Cyno 8,28478,Weeza,F,8/31/00,4.88,FALSE,FALSE,10/26/11,,,,TRUE,,11 yr 1mo
99,INIA Cyno 8,28481,Cha-Cha,F,5/31/99,6.96,FALSE,FALSE,10/27/11,,,,TRUE,,12 yr 4mo
101,INIA Cyno 8,28483,Isis,F,3/24/00,4.06,FALSE,FALSE,10/25/11,,,,TRUE,,11 yr 7mo
102,INIA Cyno 8,28484,Rizzo,F,4/6/99,5.58,FALSE,FALSE,10/28/11,,,,TRUE,,12 yr 6mo
