"corrected","Monkey","Monkey_number","Freezer Name","Location of Sample","Details:","Sample Quantity:","Quantity units:",,,,,,,,
"Fat (Retroperitoneal)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Retroperitoneal)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Subcutaneous)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Subcutaneous)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Subcutaneous)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Subcutaneous)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Subcutaneous)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Subcutaneous)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Subcutaneous)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gall bladder","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gall bladder","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gall bladder","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gall bladder","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gall bladder","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gall bladder","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gall bladder","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Gonads (testes, ovaries)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
