mky_id,mky_gender,cohort__coh_cohort_name,mky_age_at_intox,mky_drinking_category,mtd_seconds_to_stageone_d,mtd_latency_1st_drink_d,mtd_etoh_bout_d,mtd_etoh_drink_bout_d,mtd_veh_bout_d,mtd_veh_drink_bout_d,mtd_etoh_mean_drink_length_d,mtd_etoh_median_idi_d,mtd_etoh_mean_drink_vol_d,mtd_etoh_mean_bout_length_d,mtd_pct_etoh_in_1st_bout_d,mtd_drinks_1st_bout_d,mtd_max_bout_d,mtd_max_bout_length_d,mtd_pct_max_bout_vol_total_etoh_d
10062,M,INIA Rhesus 5,2239,VHD,-0.21283802468514101,-0.17922323460075107,-0.6116088975330737,1.018349358440066,0.9106558193538352,-0.9279858596198803,-0.06995587615295656,-0.6361313307370983,-0.6200031383530336,0.9310752256866415,-0.16481005202876597,0.5630001590530727,-0.39012647648542637,0.5758221920407666,0.43676120421144865
10063,M,INIA Rhesus 5,2137,VHD,-0.4484655995635361,-0.17922323460075107,-0.6116088975330737,0.8839550627876495,1.7090760928719664,-0.7533658523565347,-0.9408624679611254,-0.7605882393498301,-0.6483044619140114,-0.16127372409478247,-0.16481005202876597,0.4669241246362977,-0.39012647648542637,-0.33813776460892186,0.43676120421144865
10064,M,INIA Rhesus 5,2145,HD,-0.08075485002569863,-0.31379514361012617,1.606033723937038,-0.9784205897860079,0.29816903418924084,-0.39843170715821324,-0.45541041360675594,-0.7108054759047374,0.021419287655702276,-0.8436082269730327,-0.3120643461486174,-0.7987612974240083,0.8349435805155387,-0.8366709670927363,-1.6866453606476741
10065,M,INIA Rhesus 5,2302,HD,-0.26133953327819187,-0.17922323460075107,0.6556154575927043,-0.8804008185979207,0.2024679740072729,0.5061455557412764,-0.05805041978084505,-0.5077677030199309,-0.0033399404876730747,-0.7405502328781536,-0.29634811058130145,-0.7221194466072077,0.2224085520150562,-0.7666373599270129,-1.18036329048491
10066,M,INIA Rhesus 5,2252,VHD,0.2282160932848579,-0.17922323460075107,1.4476306795463156,-0.4336729267556226,1.391895436268873,-1.8207255587581834,-0.9714171525385189,0.368149664504253,-0.8866139013213575,-0.4945641483398851,-0.3183958495467608,-0.31153810294577633,5.122688780018916,1.0056204503114974,-1.1561198881779788
10067,M,INIA Rhesus 5,2257,HD,-0.40764071003246477,-0.12539447099700105,0.6556154575927043,-0.9719267799447971,0.3346265809252285,-0.21363128445164956,0.3036246713109405,-0.38482411142292816,0.25059451246280273,-0.813512563083525,-0.2904833563783222,-0.8122980399059367,0.2224085520150562,-0.7874559208861087,-1.4601367731687094
10069,F,INIA Rhesus 6a,1548,VHD,-0.16435847248091087,0.0899205834179991,-0.6116088975330737,-0.2739034843716309,-1.0926863737886918,0.00870255744098779,-0.1920620138426318,0.9936615201439143,-0.4594380956693096,0.1079007159132302,-0.16481005202876597,-0.36080786418514804,-0.39012647648542637,-0.11816872824953517,0.43676120421144865
10070,F,INIA Rhesus 6a,1551,VHD,-0.6491663694166239,-0.3586524466132512,-0.8831569736314546,0.7082086761652587,2.237710520543789,-0.0931548184014518,2.7010830584751293,-0.980702110780612,3.221867774699607,1.8133013460066731,2.2566017780546623,0.23042927068731323,-0.8495277478607882,0.297600836611089,2.7805217022529214
10072,F,INIA Rhesus 6b,2133,LD,-0.5931891598162777,-0.24650918910543862,-0.7172109271268885,-0.7317302058249179,2.237710520543789,-0.7330613473139347,1.6282371173611885,-0.47519567304822086,1.9981808123735396,-0.5620225364060533,-0.15694371568474863,-0.6859882883650018,-0.39012647648542637,-0.6587235115310736,0.9244583440916341
10073,F,INIA Rhesus 6b,2120,VHD,-0.290221797257198,-0.17922323460075107,0.9724215463741488,-0.7318778918640962,-0.5746246346703062,0.38702995342719315,-0.3682874950311255,0.15109610325909742,-0.4337678769441315,-0.6730098018609728,-0.2895491304119626,-0.5973027181341325,0.2224085520150562,-0.41089583481635505,-1.1587642449006865
10074,F,INIA Rhesus 6b,2104,LD,-0.44018183712199777,6.280228397849253,-0.18920077915781428,-0.7793179295602057,-0.4110261907381843,-0.3639903658685704,2.8351844321594766,-0.3926286834513185,0.7144601876611995,-0.5239682879576445,-0.2246085327171677,-0.804235715339494,-0.39012647648542637,-0.6457920028996454,-1.2028433638724385
10075,F,INIA Rhesus 6b,2175,HD,0.9317050440324823,0.022634628913311562,-0.6116088975330737,2.6207428835265705,0.07437578576371591,0.1225955969497118,-1.0061240502044024,2.9197803439123837,-0.9244195485623532,2.979055315541033,-0.16481005202876597,2.2997592427409277,-0.39012647648542637,3.3812444396285612,0.43676120421144865
10077,F,INIA Rhesus 6b,2263,LD,-0.29619083803864216,0.24371705085728496,-0.1363997643609069,-0.7894113569757579,-1.1731307432170128,0.34370332371100404,0.05029770627087034,-0.4287031497158785,0.10434553065113882,-0.7446353511688946,-0.33003814763203204,-0.804235715339494,0.8349435805155387,-0.5755002759024093,-0.06776618507944937
10078,F,INIA Rhesus 6a,1448,VHD,1.3174529218272613,-0.17922323460075107,-0.6116088975330737,0.3463778801779836,-0.48581405082143997,0.8928245797533662,-0.6102191037782576,2.1987204765529054,-0.6787497015515598,4.155469110118268,-0.16481005202876597,0.08261998696919791,-0.39012647648542637,3.8100911757062836,0.43676120421144865
10079,F,INIA Rhesus 6a,1602,VHD,-0.5455890753797047,-0.1455802573484073,-0.6116088975330737,1.7937010641270843,1.3496046820551273,-0.28633260017159584,-0.5983563830188292,-1.0321305854139722,-0.6066962455949783,0.4073744687761252,-0.16481005202876597,1.5607128241503512,-0.39012647648542637,0.47462668818593007,0.43676120421144865
10080,F,INIA Rhesus 6a,1560,VHD,-0.42053697277070196,-0.17922323460075107,-0.2948028087516291,-0.5840441666464381,-0.207798310077163,-0.28838145543279486,0.015441998928154546,2.0474707612249325,0.2053424477537227,0.02740584983374302,-0.20608225325771737,-0.5086171479032634,-0.39012647648542637,0.12207360547128507,0.06687748001018216
10081,F,INIA Rhesus 6a,1560,VHD,-0.5540405870068655,-0.29457058518021545,-0.6116088975330737,-0.2739034843716309,0.22467061996948948,0.4745302896270795,0.21440029603929753,-1.0509876927795379,0.020154933599088733,-0.5982399521613576,-0.16481005202876597,-0.36080786418514804,-0.39012647648542637,-0.6628041074883696,0.43676120421144865
